Timestamp,Name,Email,Date of birth,Age,Province,Gender,Year of Study ,Field of Study,How many hours per day do you use each platform? [Facebook],How many hours per day do you use each platform? [Instagram],How many hours per day do you use each platform? [Snapchat],How many hours per day do you use each platform? [Tiktok],How many hours per day do you use each platform? [X (Twitter)],How many hours per day do you use each platform? [Other],"On average, how many hours of sleep do you get per night?",What devices do you use to access social media,Please indicate how much you agree or disagree with the following statements about social media and your mental health: [Social media helps me feel connected to others.],Please indicate how much you agree or disagree with the following statements about social media and your mental health: [Social media makes me feel anxious or stressed.],Please indicate how much you agree or disagree with the following statements about social media and your mental health: [Social media distracts me from academic work.],Please indicate how much you agree or disagree with the following statements about social media and your mental health: [Social media improves my mood when I feel lonely.],Select any of the following reasons for using social media:
3/18/2026 19:00:00,Mei Lopez,mei.lopez@outlook.com,9/16/2001,24.0,British Columbia,Female,3.0,Statistics,1.0,1.0,1.0,1.0,0.0,0.0,8.0,"Smartphone, Laptop",Neutral,Disagree,,Agree,"Staying in touch with friends / family, Academic or professional networking"
3/5/2026 17:00:00,Yuki Smith,yuki.smith@proton.me,4/16/2004,21.0,MB,Female,1.0,Computer Science,1.0,2.0,1.0,1.0,0.0,0.0,7.0,"Smartphone, Laptop, Desktop computer",Neutral,Neutral,Neutral,Agree,"Staying in touch with friends / family, Staying informed about news/events, Self-expression / creativity"
3/6/2026 08:00:00,Arjun Khan,arjun.khan@uottawa.ca,2/14/2007,19.0,Manitoba,Male,4.0,Psychology,1.0,2.0,2.0,2.0,0.0,0.0,5.0,"Smartphone, Tablet",Neutral,Neutral,Neutral,Neutral,"Entertainment / passing time, Staying informed about news/events, Self-expression / creativity"
3/6/2026 12:00:00,Lucas Chen,lucas.chen@icloud.com,7/20/2001,24.0,BC,Female,2.0,Chemistry,1.0,1.0,1.0,1.0,0.0,0.0,8.0,Laptop,Neutral,Disagree,Disagree,Agree,"Staying in touch with friends / family, Academic or professional networking"
3/10/2026 08:00:00,Nina Anderson,nina.anderson@icloud.com,5/3/2001,,ON,Male,1.0,Biology,1.0,1.0,1.0,1.0,0.0,0.0,8.0,Smartphone,Agree,Disagree,Disagree,Neutral,"Staying in touch with friends / family, Self-expression / creativity"
3/18/2026 18:00:00,Olivia Garcia,olivia.garcia@wilfridlaurier.ca,1/15/2007,19.0,ontario,Male,2.0,psycology,1.0,2.0,1.0,2.0,0.0,0.0,6.0,"Smartphone, Laptop, Gaming console",Agree,Neutral,Disagree,Agree,"Entertainment / passing time, Academic or professional networking, Staying informed about news/events"
3/8/2026 08:00:00,Aisha Singh,aisha.singh@hotmail.com,12/30/2008,17.0,british columbia,Female,1.0,psychology,1.0,,1.0,1.0,0.0,0.0,7.0,"Smartphone, Laptop, Tablet",Agree,Disagree,Disagree,Agree,"Entertainment / passing time, Academic or professional networking, Self-expression / creativity"
3/5/2026 11:00:00,Jamal Wilson,jamal.wilson@yorku.ca,3/2/2005,21.0,MB,Female,1.0,stats,1.0,2.0,2.0,3.0,0.0,0.0,6.0,"Smartphone, Laptop, Tablet, Smart TV",Agree,,Neutral,Neutral,"Entertainment / passing time, Self-expression / creativity"
3/18/2026 19:00:00,Jamal Nguyen,jamal.nguyen@gmail.com,2/1/2002,24.0,,Female,1.0,Psychology,1.0,2.0,,1.0,0.0,0.0,8.0,"Smartphone, Laptop, Smart TV",Agree,Neutral,,Agree,"Staying in touch with friends / family, Entertainment / passing time, Academic or professional networking, Self-expression / creativity"
3/8/2026 08:00:00,Nina Brown,nina.brown@icloud.com,8/27/2005,20.0,Alberta,,2.0,Computer Science,1.0,2.0,1.0,1.0,0.0,0.0,7.0,"Smartphone, Laptop",Agree,Disagree,Disagree,Strong agree,
